# LAMMPS data file written by OVITO Basic 3.8.4

6832 atoms 
1944 bonds
5 atom types 
2 bond types

0.0 39.0999984741 xlo xhi
0.0 39.0999984741 ylo yhi
0.0 39.0999984741 zlo zhi

Masses

1 6.941  # Li
91 1 1  0.0 0.000000 23.460000 1.955000       
92 1 1  0.0 0.000000 23.460000 21.505000       
93 1 1  0.0 19.549999 3.910000 1.955000       
94 1 1  0.0 19.549999 3.910000 21.505000       
95 1 1  0.0 19.549999 23.460000 1.955000       
96 1 1  0.0 19.549999 23.460000 21.505000       
97 1 1  0.0 0.000000 15.640000 17.594999       
98 1 1  0.0 0.000000 15.640000 37.144998       
99 1 1  0.0 0.000000 35.189998 17.594999       
100 1 1  0.0 0.000000 35.189998 37.144998       
101 1 1  0.0 19.549999 15.640000 17.594999       
102 1 1  0.0 19.549999 15.640000 37.144998       
103 1 1  0.0 19.549999 35.189998 17.594999       
104 1 1  0.0 19.549999 35.189998 37.144998       
105 1 1  0.0 0.000000 3.910000 17.594999       
106 1 1  0.0 0.000000 3.910000 37.144998       
107 1 1  0.0 0.000000 23.460000 17.594999       
108 1 1  0.0 0.000000 23.460000 37.144998       
109 1 1  0.0 19.549999 3.910000 17.594999       
110 1 1  0.0 19.549999 3.910000 37.144998       
111 1 1  0.0 19.549999 23.460000 17.594999       
112 1 1  0.0 19.549999 23.460000 37.144998       
113 1 1  0.0 0.000000 15.640000 1.955000       
114 1 1  0.0 0.000000 15.640000 21.505000       
115 1 1  0.0 0.000000 35.189998 1.955000       
116 1 1  0.0 0.000000 35.189998 21.505000       
117 1 1  0.0 19.549999 15.640000 1.955000       
118 1 1  0.0 19.549999 15.640000 21.505000       
119 1 1  0.0 19.549999 35.189998 1.955000       
120 1 1  0.0 19.549999 35.189998 21.505000       
121 1 1  0.0 0.000000 1.955000 15.640000       
122 1 1  0.0 0.000000 1.955000 35.189998       
123 1 1  0.0 0.000000 21.505000 15.640000       
124 1 1  0.0 0.000000 21.505000 35.189998       
125 1 1  0.0 19.549999 1.955000 15.640000       
126 1 1  0.0 19.549999 1.955000 35.189998       
127 1 1  0.0 19.549999 21.505000 15.640000       
128 1 1  0.0 19.549999 21.505000 35.189998       
129 1 1  0.0 0.000000 17.594999 3.910000       
130 1 1  0.0 0.000000 17.594999 23.460000       
131 1 1  0.0 0.000000 37.144996 3.910000       
132 1 1  0.0 0.000000 37.144996 23.460000       
133 1 1  0.0 19.549999 17.594999 3.910000       
134 1 1  0.0 19.549999 17.594999 23.460000       
135 1 1  0.0 19.549999 37.144996 3.910000       
136 1 1  0.0 19.549999 37.144996 23.460000       
137 1 1  0.0 0.000000 17.594999 15.640000       
138 1 1  0.0 0.000000 17.594999 35.189998       
139 1 1  0.0 0.000000 37.144996 15.640000       
140 1 1  0.0 0.000000 37.144996 35.189998       
141 1 1  0.0 19.549999 17.594999 15.640000       
142 1 1  0.0 19.549999 17.594999 35.189998       
143 1 1  0.0 19.549999 37.144996 15.640000       
144 1 1  0.0 19.549999 37.144996 35.189998       
145 1 1  0.0 0.000000 1.955000 3.910000       
146 1 1  0.0 0.000000 1.955000 23.460000       
147 1 1  0.0 0.000000 21.505000 3.910000       
148 1 1  0.0 0.000000 21.505000 23.460000       
149 1 1  0.0 19.549999 1.955000 3.910000       
150 1 1  0.0 19.549999 1.955000 23.460000       
151 1 1  0.0 19.549999 21.505000 3.910000       
152 1 1  0.0 19.549999 21.505000 23.460000       
153 1 1  0.0 1.955000 3.910000 0.000000       
154 1 1  0.0 1.955000 3.910000 19.549999       
155 1 1  0.0 1.955000 23.460000 0.000000       
156 1 1  0.0 1.955000 23.460000 19.549999       
157 1 1  0.0 21.505000 3.910000 0.000000       
158 1 1  0.0 21.505000 3.910000 19.549999       
159 1 1  0.0 21.505000 23.460000 0.000000       
160 1 1  0.0 21.505000 23.460000 19.549999       
161 1 1  0.0 17.594999 15.640000 0.000000       
162 1 1  0.0 17.594999 15.640000 19.549999       
163 1 1  0.0 17.594999 35.189998 0.000000       
164 1 1  0.0 17.594999 35.189998 19.549999       
165 1 1  0.0 37.144996 15.640000 0.000000       
166 1 1  0.0 37.144996 15.640000 19.549999       
167 1 1  0.0 37.144996 35.189998 0.000000       
168 1 1  0.0 37.144996 35.189998 19.549999       
169 1 1  0.0 17.594999 3.910000 0.000000       
170 1 1  0.0 17.594999 3.910000 19.549999       
171 1 1  0.0 17.594999 23.460000 0.000000       
172 1 1  0.0 17.594999 23.460000 19.549999       
173 1 1  0.0 37.144996 3.910000 0.000000       
174 1 1  0.0 37.144996 3.910000 19.549999       
175 1 1  0.0 37.144996 23.460000 0.000000       
176 1 1  0.0 37.144996 23.460000 19.549999       
177 1 1  0.0 1.955000 15.640000 0.000000       
178 1 1  0.0 1.955000 15.640000 19.549999       
179 1 1  0.0 1.955000 35.189998 0.000000       
180 1 1  0.0 1.955000 35.189998 19.549999       
181 1 1  0.0 21.505000 15.640000 0.000000       
182 1 1  0.0 21.505000 15.640000 19.549999       
183 1 1  0.0 21.505000 35.189998 0.000000       
184 1 1  0.0 21.505000 35.189998 19.549999       
185 1 1  0.0 3.910000 0.000000 17.594999       
186 1 1  0.0 3.910000 0.000000 37.144998       
187 1 1  0.0 3.910000 19.549999 17.594999       
188 1 1  0.0 3.910000 19.549999 37.144998       
189 1 1  0.0 23.460000 0.000000 17.594999       
190 1 1  0.0 23.460000 0.000000 37.144998       
191 1 1  0.0 23.460000 19.549999 17.594999       
192 1 1  0.0 23.460000 19.549999 37.144998       
193 1 1  0.0 15.640000 0.000000 1.955000       
194 1 1  0.0 15.640000 0.000000 21.505000       
195 1 1  0.0 15.640000 19.549999 1.955000       
196 1 1  0.0 15.640000 19.549999 21.505000       
197 1 1  0.0 35.189998 0.000000 1.955000       
198 1 1  0.0 35.189998 0.000000 21.505000       
199 1 1  0.0 35.189998 19.549999 1.955000       
200 1 1  0.0 35.189998 19.549999 21.505000       
201 1 1  0.0 3.910000 0.000000 1.955000       
202 1 1  0.0 3.910000 0.000000 21.505000       
203 1 1  0.0 3.910000 19.549999 1.955000       
204 1 1  0.0 3.910000 19.549999 21.505000       
205 1 1  0.0 23.460000 0.000000 1.955000       
206 1 1  0.0 23.460000 0.000000 21.505000       
207 1 1  0.0 23.460000 19.549999 1.955000       
208 1 1  0.0 23.460000 19.549999 21.505000       
209 1 1  0.0 15.640000 0.000000 17.594999       
210 1 1  0.0 15.640000 0.000000 37.144998       
211 1 1  0.0 15.640000 19.549999 17.594999       
212 1 1  0.0 15.640000 19.549999 37.144998       
213 1 1  0.0 35.189998 0.000000 17.594999       
214 1 1  0.0 35.189998 0.000000 37.144998       
215 1 1  0.0 35.189998 19.549999 17.594999       
216 1 1  0.0 35.189998 19.549999 37.144998       
217 1 1  0.0 1.955000 0.000000 7.820000       
218 1 1  0.0 1.955000 0.000000 27.369998       
219 1 1  0.0 1.955000 19.549999 7.820000       
220 1 1  0.0 1.955000 19.549999 27.369998       
221 1 1  0.0 21.505000 0.000000 7.820000       
222 1 1  0.0 21.505000 0.000000 27.369998       
223 1 1  0.0 21.505000 19.549999 7.820000       
224 1 1  0.0 21.505000 19.549999 27.369998       
225 1 1  0.0 17.594999 0.000000 11.730000       
226 1 1  0.0 17.594999 0.000000 31.279999       
227 1 1  0.0 17.594999 19.549999 11.730000       
228 1 1  0.0 17.594999 19.549999 31.279999       
229 1 1  0.0 37.144996 0.000000 11.730000       
230 1 1  0.0 37.144996 0.000000 31.279999       
231 1 1  0.0 37.144996 19.549999 11.730000       
232 1 1  0.0 37.144996 19.549999 31.279999       
233 1 1  0.0 17.594999 0.000000 7.820000       
234 1 1  0.0 17.594999 0.000000 27.369998       
235 1 1  0.0 17.594999 19.549999 7.820000       
236 1 1  0.0 17.594999 19.549999 27.369998       
237 1 1  0.0 37.144996 0.000000 7.820000       
238 1 1  0.0 37.144996 0.000000 27.369998       
239 1 1  0.0 37.144996 19.549999 7.820000       
240 1 1  0.0 37.144996 19.549999 27.369998       
241 1 1  0.0 1.955000 0.000000 11.730000       
242 1 1  0.0 1.955000 0.000000 31.279999       
243 1 1  0.0 1.955000 19.549999 11.730000       
244 1 1  0.0 1.955000 19.549999 31.279999       
245 1 1  0.0 21.505000 0.000000 11.730000       
246 1 1  0.0 21.505000 0.000000 31.279999       
247 1 1  0.0 21.505000 19.549999 11.730000       
248 1 1  0.0 21.505000 19.549999 31.279999       
249 1 1  0.0 7.820000 1.955000 0.000000       
250 1 1  0.0 7.820000 1.955000 19.549999       
251 1 1  0.0 7.820000 21.505000 0.000000       
252 1 1  0.0 7.820000 21.505000 19.549999       
253 1 1  0.0 27.369998 1.955000 0.000000       
254 1 1  0.0 27.369998 1.955000 19.549999       
255 1 1  0.0 27.369998 21.505000 0.000000       
256 1 1  0.0 27.369998 21.505000 19.549999       
257 1 1  0.0 11.730000 17.594999 0.000000       
258 1 1  0.0 11.730000 17.594999 19.549999       
259 1 1  0.0 11.730000 37.144996 0.000000       
260 1 1  0.0 11.730000 37.144996 19.549999       
261 1 1  0.0 31.279999 17.594999 0.000000       
262 1 1  0.0 31.279999 17.594999 19.549999       
263 1 1  0.0 31.279999 37.144996 0.000000       
264 1 1  0.0 31.279999 37.144996 19.549999       
265 1 1  0.0 7.820000 17.594999 0.000000       
266 1 1  0.0 7.820000 17.594999 19.549999       
267 1 1  0.0 7.820000 37.144996 0.000000       
268 1 1  0.0 7.820000 37.144996 19.549999       
269 1 1  0.0 27.369998 17.594999 0.000000       
270 1 1  0.0 27.369998 17.594999 19.549999       
271 1 1  0.0 27.369998 37.144996 0.000000       
272 1 1  0.0 27.369998 37.144996 19.549999       
273 1 1  0.0 11.730000 1.955000 0.000000       
274 1 1  0.0 11.730000 1.955000 19.549999       
275 1 1  0.0 11.730000 21.505000 0.000000       
276 1 1  0.0 11.730000 21.505000 19.549999       
277 1 1  0.0 31.279999 1.955000 0.000000       
278 1 1  0.0 31.279999 1.955000 19.549999       
279 1 1  0.0 31.279999 21.505000 0.000000       
280 1 1  0.0 31.279999 21.505000 19.549999       
281 1 1  0.0 0.000000 7.820000 1.955000       
282 1 1  0.0 0.000000 7.820000 21.505000       
283 1 1  0.0 0.000000 27.369998 1.955000       
284 1 1  0.0 0.000000 27.369998 21.505000       
285 1 1  0.0 19.549999 7.820000 1.955000       
286 1 1  0.0 19.549999 7.820000 21.505000       
287 1 1  0.0 19.549999 27.369998 1.955000       
288 1 1  0.0 19.549999 27.369998 21.505000       
289 1 1  0.0 0.000000 11.730000 17.594999       
290 1 1  0.0 0.000000 11.730000 37.144998       
291 1 1  0.0 0.000000 31.279999 17.594999       
292 1 1  0.0 0.000000 31.279999 37.144998       
293 1 1  0.0 19.549999 11.730000 17.594999       
294 1 1  0.0 19.549999 11.730000 37.144998       
295 1 1  0.0 19.549999 31.279999 17.594999       
296 1 1  0.0 19.549999 31.279999 37.144998       
297 1 1  0.0 0.000000 7.820000 17.594999       
298 1 1  0.0 0.000000 7.820000 37.144998       
299 1 1  0.0 0.000000 27.369998 17.594999       
300 1 1  0.0 0.000000 27.369998 37.144998       
301 1 1  0.0 19.549999 7.820000 17.594999       
302 1 1  0.0 19.549999 7.820000 37.144998       
303 1 1  0.0 19.549999 27.369998 17.594999       
304 1 1  0.0 19.549999 27.369998 37.144998       
305 1 1  0.0 0.000000 11.730000 1.955000       
306 1 1  0.0 0.000000 11.730000 21.505000       
307 1 1  0.0 0.000000 31.279999 1.955000       
308 1 1  0.0 0.000000 31.279999 21.505000       
309 1 1  0.0 19.549999 11.730000 1.955000       
310 1 1  0.0 19.549999 11.730000 21.505000       
311 1 1  0.0 19.549999 31.279999 1.955000       
312 1 1  0.0 19.549999 31.279999 21.505000       
313 1 1  0.0 0.000000 1.955000 11.730000       
314 1 1  0.0 0.000000 1.955000 31.279999       
315 1 1  0.0 0.000000 21.505000 11.730000       
316 1 1  0.0 0.000000 21.505000 31.279999       
317 1 1  0.0 19.549999 1.955000 11.730000       
318 1 1  0.0 19.549999 1.955000 31.279999       
319 1 1  0.0 19.549999 21.505000 11.730000       
320 1 1  0.0 19.549999 21.505000 31.279999       
321 1 1  0.0 0.000000 17.594999 7.820000       
322 1 1  0.0 0.000000 17.594999 27.369998       
323 1 1  0.0 0.000000 37.144996 7.820000       
324 1 1  0.0 0.000000 37.144996 27.369998       
325 1 1  0.0 19.549999 17.594999 7.820000       
326 1 1  0.0 19.549999 17.594999 27.369998       
327 1 1  0.0 19.549999 37.144996 7.820000       
328 1 1  0.0 19.549999 37.144996 27.369998       
329 1 1  0.0 0.000000 17.594999 11.730000       
330 1 1  0.0 0.000000 17.594999 31.279999       
331 1 1  0.0 0.000000 37.144996 11.730000       
332 1 1  0.0 0.000000 37.144996 31.279999       
333 1 1  0.0 19.549999 17.594999 11.730000       
334 1 1  0.0 19.549999 17.594999 31.279999       
335 1 1  0.0 19.549999 37.144996 11.730000       
336 1 1  0.0 19.549999 37.144996 31.279999       
337 1 1  0.0 0.000000 1.955000 7.820000       
338 1 1  0.0 0.000000 1.955000 27.369998       
339 1 1  0.0 0.000000 21.505000 7.820000       
340 1 1  0.0 0.000000 21.505000 27.369998       
341 1 1  0.0 19.549999 1.955000 7.820000       
342 1 1  0.0 19.549999 1.955000 27.369998       
343 1 1  0.0 19.549999 21.505000 7.820000       
344 1 1  0.0 19.549999 21.505000 27.369998       
345 1 1  0.0 1.955000 7.820000 0.000000       
346 1 1  0.0 1.955000 7.820000 19.549999       
347 1 1  0.0 1.955000 27.369998 0.000000       
348 1 1  0.0 1.955000 27.369998 19.549999       
349 1 1  0.0 21.505000 7.820000 0.000000       
350 1 1  0.0 21.505000 7.820000 19.549999       
351 1 1  0.0 21.505000 27.369998 0.000000       
352 1 1  0.0 21.505000 27.369998 19.549999       
353 1 1  0.0 17.594999 11.730000 0.000000       
354 1 1  0.0 17.594999 11.730000 19.549999       
355 1 1  0.0 17.594999 31.279999 0.000000       
356 1 1  0.0 17.594999 31.279999 19.549999       
357 1 1  0.0 37.144996 11.730000 0.000000       
358 1 1  0.0 37.144996 11.730000 19.549999       
359 1 1  0.0 37.144996 31.279999 0.000000       
360 1 1  0.0 37.144996 31.279999 19.549999       
361 1 1  0.0 17.594999 7.820000 0.000000       
362 1 1  0.0 17.594999 7.820000 19.549999       
363 1 1  0.0 17.594999 27.369998 0.000000       
364 1 1  0.0 17.594999 27.369998 19.549999       
365 1 1  0.0 37.144996 7.820000 0.000000       
366 1 1  0.0 37.144996 7.820000 19.549999       
367 1 1  0.0 37.144996 27.369998 0.000000       
368 1 1  0.0 37.144996 27.369998 19.549999       
369 1 1  0.0 1.955000 11.730000 0.000000       
370 1 1  0.0 1.955000 11.730000 19.549999       
371 1 1  0.0 1.955000 31.279999 0.000000       
372 1 1  0.0 1.955000 31.279999 19.549999       
373 1 1  0.0 21.505000 11.730000 0.000000       
374 1 1  0.0 21.505000 11.730000 19.549999       
375 1 1  0.0 21.505000 31.279999 0.000000       
376 1 1  0.0 21.505000 31.279999 19.549999       
377 1 1  0.0 7.820000 0.000000 17.594999       
378 1 1  0.0 7.820000 0.000000 37.144998       
379 1 1  0.0 7.820000 19.549999 17.594999       
380 1 1  0.0 7.820000 19.549999 37.144998       
381 1 1  0.0 27.369998 0.000000 17.594999       
382 1 1  0.0 27.369998 0.000000 37.144998       
383 1 1  0.0 27.369998 19.549999 17.594999       
384 1 1  0.0 27.369998 19.549999 37.144998       
385 1 1  0.0 11.730000 0.000000 1.955000       
386 1 1  0.0 11.730000 0.000000 21.505000       
387 1 1  0.0 11.730000 19.549999 1.955000       
388 1 1  0.0 11.730000 19.549999 21.505000       
389 1 1  0.0 31.279999 0.000000 1.955000       
390 1 1  0.0 31.279999 0.000000 21.505000       
391 1 1  0.0 31.279999 19.549999 1.955000       
392 1 1  0.0 31.279999 19.549999 21.505000       
393 1 1  0.0 7.820000 0.000000 1.955000       
394 1 1  0.0 7.820000 0.000000 21.505000       
395 1 1  0.0 7.820000 19.549999 1.955000       
396 1 1  0.0 7.820000 19.549999 21.505000       
397 1 1  0.0 27.369998 0.000000 1.955000       
398 1 1  0.0 27.369998 0.000000 21.505000       
399 1 1  0.0 27.369998 19.549999 1.955000       
400 1 1  0.0 27.369998 19.549999 21.505000       
401 1 1  0.0 11.730000 0.000000 17.594999       
402 1 1  0.0 11.730000 0.000000 37.144998       
403 1 1  0.0 11.730000 19.549999 17.594999       
404 1 1  0.0 11.730000 19.549999 37.144998       
405 1 1  0.0 31.279999 0.000000 17.594999       
406 1 1  0.0 31.279999 0.000000 37.144998       
407 1 1  0.0 31.279999 19.549999 17.594999       
408 1 1  0.0 31.279999 19.549999 37.144998       
409 1 1  0.0 1.955000 3.910000 3.910000       
410 1 1  0.0 1.955000 3.910000 23.460000       
411 1 1  0.0 1.955000 23.460000 3.910000       
412 1 1  0.0 1.955000 23.460000 23.460000       
413 1 1  0.0 21.505000 3.910000 3.910000       
414 1 1  0.0 21.505000 3.910000 23.460000       
415 1 1  0.0 21.505000 23.460000 3.910000       
416 1 1  0.0 21.505000 23.460000 23.460000       
417 1 1  0.0 17.594999 15.640000 15.640000       
418 1 1  0.0 17.594999 15.640000 35.189998       
419 1 1  0.0 17.594999 35.189998 15.640000       
420 1 1  0.0 17.594999 35.189998 35.189998       
421 1 1  0.0 37.144996 15.640000 15.640000       
422 1 1  0.0 37.144996 15.640000 35.189998       
423 1 1  0.0 37.144996 35.189998 15.640000       
424 1 1  0.0 37.144996 35.189998 35.189998       
425 1 1  0.0 17.594999 15.640000 3.910000       
426 1 1  0.0 17.594999 15.640000 23.460000       
427 1 1  0.0 17.594999 35.189998 3.910000       
428 1 1  0.0 17.594999 35.189998 23.460000       
429 1 1  0.0 37.144996 15.640000 3.910000       
430 1 1  0.0 37.144996 15.640000 23.460000       
431 1 1  0.0 37.144996 35.189998 3.910000       
432 1 1  0.0 37.144996 35.189998 23.460000       
433 1 1  0.0 1.955000 3.910000 15.640000       
434 1 1  0.0 1.955000 3.910000 35.189998       
435 1 1  0.0 1.955000 23.460000 15.640000       
436 1 1  0.0 1.955000 23.460000 35.189998       
437 1 1  0.0 21.505000 3.910000 15.640000       
438 1 1  0.0 21.505000 3.910000 35.189998       
439 1 1  0.0 21.505000 23.460000 15.640000       
440 1 1  0.0 21.505000 23.460000 35.189998       
441 1 1  0.0 17.594999 3.910000 15.640000       
442 1 1  0.0 17.594999 3.910000 35.189998       
443 1 1  0.0 17.594999 23.460000 15.640000       
444 1 1  0.0 17.594999 23.460000 35.189998       
445 1 1  0.0 37.144996 3.910000 15.640000       
446 1 1  0.0 37.144996 3.910000 35.189998       
447 1 1  0.0 37.144996 23.460000 15.640000       
448 1 1  0.0 37.144996 23.460000 35.189998       
449 1 1  0.0 1.955000 15.640000 3.910000       
450 1 1  0.0 1.955000 15.640000 23.460000       
451 1 1  0.0 1.955000 35.189998 3.910000       
452 1 1  0.0 1.955000 35.189998 23.460000       
453 1 1  0.0 21.505000 15.640000 3.910000       
454 1 1  0.0 21.505000 15.640000 23.460000       
455 1 1  0.0 21.505000 35.189998 3.910000       
456 1 1  0.0 21.505000 35.189998 23.460000       
457 1 1  0.0 1.955000 15.640000 15.640000       
458 1 1  0.0 1.955000 15.640000 35.189998       
459 1 1  0.0 1.955000 35.189998 15.640000       
460 1 1  0.0 1.955000 35.189998 35.189998       
461 1 1  0.0 21.505000 15.640000 15.640000       
462 1 1  0.0 21.505000 15.640000 35.189998       
463 1 1  0.0 21.505000 35.189998 15.640000       
464 1 1  0.0 21.505000 35.189998 35.189998       
465 1 1  0.0 17.594999 3.910000 3.910000       
466 1 1  0.0 17.594999 3.910000 23.460000       
467 1 1  0.0 17.594999 23.460000 3.910000       
468 1 1  0.0 17.594999 23.460000 23.460000       
469 1 1  0.0 37.144996 3.910000 3.910000       
470 1 1  0.0 37.144996 3.910000 23.460000       
471 1 1  0.0 37.144996 23.460000 3.910000       
472 1 1  0.0 37.144996 23.460000 23.460000       
473 1 1  0.0 3.910000 1.955000 3.910000       
474 1 1  0.0 3.910000 1.955000 23.460000       
475 1 1  0.0 3.910000 21.505000 3.910000       
476 1 1  0.0 3.910000 21.505000 23.460000       
477 1 1  0.0 23.460000 1.955000 3.910000       
478 1 1  0.0 23.460000 1.955000 23.460000       
479 1 1  0.0 23.460000 21.505000 3.910000       
480 1 1  0.0 23.460000 21.505000 23.460000       
481 1 1  0.0 15.640000 17.594999 15.640000       
482 1 1  0.0 15.640000 17.594999 35.189998       
483 1 1  0.0 15.640000 37.144996 15.640000       
484 1 1  0.0 15.640000 37.144996 35.189998       
485 1 1  0.0 35.189998 17.594999 15.640000       
486 1 1  0.0 35.189998 17.594999 35.189998       
487 1 1  0.0 35.189998 37.144996 15.640000       
488 1 1  0.0 35.189998 37.144996 35.189998       
489 1 1  0.0 3.910000 17.594999 15.640000       
490 1 1  0.0 3.910000 17.594999 35.189998       
491 1 1  0.0 3.910000 37.144996 15.640000       
492 1 1  0.0 3.910000 37.144996 35.189998       
493 1 1  0.0 23.460000 17.594999 15.640000       
494 1 1  0.0 23.460000 17.594999 35.189998       
495 1 1  0.0 23.460000 37.144996 15.640000       
496 1 1  0.0 23.460000 37.144996 35.189998       
497 1 1  0.0 15.640000 1.955000 3.910000       
498 1 1  0.0 15.640000 1.955000 23.460000       
499 1 1  0.0 15.640000 21.505000 3.910000       
500 1 1  0.0 15.640000 21.505000 23.460000       
501 1 1  0.0 35.189998 1.955000 3.910000       
502 1 1  0.0 35.189998 1.955000 23.460000       
503 1 1  0.0 35.189998 21.505000 3.910000       
504 1 1  0.0 35.189998 21.505000 23.460000       
505 1 1  0.0 15.640000 17.594999 3.910000       
506 1 1  0.0 15.640000 17.594999 23.460000       
507 1 1  0.0 15.640000 37.144996 3.910000       
508 1 1  0.0 15.640000 37.144996 23.460000       
509 1 1  0.0 35.189998 17.594999 3.910000       
510 1 1  0.0 35.189998 17.594999 23.460000       
511 1 1  0.0 35.189998 37.144996 3.910000       
512 1 1  0.0 35.189998 37.144996 23.460000       
513 1 1  0.0 3.910000 1.955000 15.640000       
514 1 1  0.0 3.910000 1.955000 35.189998       
515 1 1  0.0 3.910000 21.505000 15.640000       
516 1 1  0.0 3.910000 21.505000 35.189998       
517 1 1  0.0 23.460000 1.955000 15.640000       
518 1 1  0.0 23.460000 1.955000 35.189998       
519 1 1  0.0 23.460000 21.505000 15.640000       
520 1 1  0.0 23.460000 21.505000 35.189998       
521 1 1  0.0 15.640000 1.955000 15.640000       
522 1 1  0.0 15.640000 1.955000 35.189998       
523 1 1  0.0 15.640000 21.505000 15.640000       
524 1 1  0.0 15.640000 21.505000 35.189998       
525 1 1  0.0 35.189998 1.955000 15.640000       
